week,topic,label,value,unit,source_url
1,전쟁은 인류를 진보시키는가,2022 Shahed,700,공격 무인기 수(대),https://nllp.jallc.nato.int/iks/sharing%20public/20260409_u_q2-26%20sagu%20nsatu%20ukraine%20insights%20newsletter.pdf
1,전쟁은 인류를 진보시키는가,2025 Shahed,53000,공격 무인기 수(대),https://nllp.jallc.nato.int/iks/sharing%20public/20260409_u_q2-26%20sagu%20nsatu%20ukraine%20insights%20newsletter.pdf
2,미·중 수출통제와 기술의 국적,2023,29,ASML 시스템 매출 중 중국 출하 비중(%),https://ourbrand.asml.com/m/62a213cac2117ee6/original/2025_01_29-Presentation-Investor-Relations-Q4-FY-2024.pdf
2,미·중 수출통제와 기술의 국적,2024,41,ASML 시스템 매출 중 중국 출하 비중(%),https://ourbrand.asml.com/m/62a213cac2117ee6/original/2025_01_29-Presentation-Investor-Relations-Q4-FY-2024.pdf
3,두 번째 생산거점은 언제 필요한가,2023,58,첨단공정 매출 비중(%),https://investor.tsmc.com/static/annualReports/2024/english/index.html
3,두 번째 생산거점은 언제 필요한가,2024,69,첨단공정 매출 비중(%),https://investor.tsmc.com/static/annualReports/2024/english/index.html
4,수입액 감소는 국산화 성공인가,2019,36.3,일본산 불화수소 수입액(백만 달러),https://www.korea.kr/news/policyNewsView.do?newsId=148899420
4,수입액 감소는 국산화 성공인가,2021,12.5,일본산 불화수소 수입액(백만 달러),https://www.korea.kr/news/policyNewsView.do?newsId=148899420
4,수입액 감소는 국산화 성공인가,2022,8.3,일본산 불화수소 수입액(백만 달러),https://www.korea.kr/news/policyNewsView.do?newsId=148899420
5,보조금 받은 공장의 성과는 무엇인가,제조 인센티브,39,미 CHIPS 재원(십억 달러),https://www.nist.gov/document/chips-america-fact-sheet-federal-incentives
5,보조금 받은 공장의 성과는 무엇인가,R&D,11,미 CHIPS 재원(십억 달러),https://www.nist.gov/document/chips-america-fact-sheet-federal-incentives
5,보조금 받은 공장의 성과는 무엇인가,국방,2,미 CHIPS 재원(십억 달러),https://www.nist.gov/document/chips-america-fact-sheet-federal-incentives
5,보조금 받은 공장의 성과는 무엇인가,인력,0.2,미 CHIPS 재원(십억 달러),https://www.nist.gov/document/chips-america-fact-sheet-federal-incentives
