week,title,question,chaekmun_motif,primary_source,source_url
1,전쟁은 인류를 진보시키는가,"전쟁은 인류를 진보하게 하는가, 아니면 퇴보하게 하는가",정벌인가 화친인가,"KRpia, 박광전 책문 항목",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#seonjo-1568/0
2,미·중 수출통제와 기술의 국적,"미국의 대중국 첨단 반도체 통제는 한국 산업에 기회인가, 장기적 위험인가",외교관은 어떤 자질을 갖춰야 하는가,"책문 아카이브, 김의정 대책 전승 해설",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jungjong-diplomat/0
3,두 번째 생산거점은 언제 필요한가,핵심 칩 생산이 한 지역에 집중돼 있다면 비용이 30% 늘어도 두 번째 생산거점을 확보해야 하는가,이 나라의 위기를 어떻게 구제할 것인가,"책문 아카이브, 조위한 대책 전승 해설",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#gwanghae-crisis/0
4,수입액 감소는 국산화 성공인가,일본산 불화수소 수입액이 줄었다면 신입 구매 담당자는 이를 국산화 성공이라고 보고해도 되는가,호남의 일곱 폐단과 해법,"한국학중앙연구원 한국고문서자료관, 1798년 응제",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jeongjo-1798/0
5,보조금 받은 공장의 성과는 무엇인가,정부 지원을 받은 반도체 공장이 투자·고용 약속을 미달하면 보조금을 환수해야 하는가,법의 폐단과 권력의 자리,"국사편찬위원회, 세종실록 1447.08.05",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447/0
6,민수용 주문과 제재의 경계,제재 대상국의 의료기기용 칩 주문을 은행이 거절하면 신입 영업·준법 담당자는 거래를 되살려야 하는가,정벌인가 화친인가,"KRpia, 박광전 책문 항목",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#seonjo-1568/0
7,환율 이익은 팀의 성과인가,달러 매출은 그대로인데 원화 매출만 25% 늘었다면 그 증가분을 성과급 평가에 반영해야 하는가,인재를 어떻게 구할 것인가,"국사편찬위원회 우리역사넷, 강희맹",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447-talent/0
8,HBM 증설은 어디까지 앞당길 것인가,5년 장기주문이 들어왔지만 설비 회수에 7년이 걸린다면 신입 분석가는 전면 증설을 제안해야 하는가,처음과 끝이 같은 정치,"책문 아카이브, 권벌 시권 해설",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jungjong-1507/0
9,재고가 두 배일 때 감산해도 되는가,재고가 목표의 두 배이고 가격이 원가 아래라면 경쟁사 움직임과 무관하게 감산을 제안해야 하는가,법의 폐단과 권력의 자리,"국사편찬위원회, 세종실록 1447.08.05",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447/0
10,목표를 못 채운 프로젝트를 계속할 것인가,생산 목표는 미달했지만 인력과 특허가 남은 국책 팹 사업은 연장해야 하는가,처음과 끝이 같은 정치,"책문 아카이브, 권벌 시권 해설",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jungjong-1507/0
11,"GPU 대기시간 40일, 누구에게 먼저 줄 것인가",사내 공용 GPU가 부족할 때 매출 부서와 신입 실험팀 가운데 누구에게 먼저 배정해야 하는가,인재를 어떻게 구할 것인가,"국사편찬위원회 우리역사넷, 강희맹",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447-talent/0
12,주가 30% 상승을 수요 증거로 써도 되는가,실적 발표 전 반도체 주가가 30% 올랐다면 다음 분기 수요 증가의 근거로 보고서에 써도 되는가,하늘의 이치와 인간의 정치,"한국학중앙연구원 실록위키, 천도책",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#myeongjong-1558/0
13,수율 1%p 높인 블랙박스를 맡길 것인가,수율을 1%p 높였지만 이유를 설명하지 못하는 AI에 공정 자동운전을 맡겨도 되는가,하늘의 이치와 인간의 정치,"한국학중앙연구원 실록위키, 천도책",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#myeongjong-1558/0
14,자동화로 줄어든 시간을 누가 갖는가,AI로 생산성이 20% 높아졌다면 줄어든 노동시간과 이익을 회사·팀·직원이 어떻게 나눠야 하는가,교육은 어디로 가야 하는가,"책문 아카이브, 조종도 대책 전승 해설",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#myeongjong-1558-education/0
15,가스 경보 한 번에 라인을 세울 것인가,납기가 이틀 늦어져도 확증이 없는 가스 누출 경보만으로 신입 엔지니어가 라인 중단을 요청해야 하는가,임진왜란 뒤 가장 시급한 일,"한국학중앙연구원, 1611년 시험 기록",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#gwanghae-1611/0
16,공공 연구 코드를 어디까지 열 것인가,정부 연구비로 만든 공정 소프트웨어를 회사가 독점하려 할 때 어느 범위까지 공개해야 하는가,교육은 어디로 가야 하는가,"책문 아카이브, 조종도 대책 전승 해설",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#myeongjong-1558-education/0
